queue_id$queue_desc
12049$Очередь 86
13677$Очередь 57
13041$Очередь 146
14703$Очередь 129
11696$Очередь 4
12857$Очередь 18
12725$Очередь 92
8156$Очередь 89
14590$Очередь 100
15048$Очередь 55
14948$Очередь 44
3362$Очередь 56
13261$Очередь 24
14643$Очередь 41
15002$Очередь 37
9263$Очередь 85
6658$Очередь 148
9262$Очередь 127
13240$Очередь 42
14097$Очередь 135
12253$Очередь 49
15254$Очередь 109
14702$Очередь 35
7521$Очередь 149
10551$Очередь 110
4880$Очередь 117
8071$Очередь 104
3361$Очередь 26
10236$Очередь 20
14754$Очередь 120
1281$Очередь 14
14877$Очередь 10
14366$Очередь 69
9411$Очередь 80
9350$Очередь 17
12251$Очередь 51
1381$Очередь 65
14755$Очередь 151
6777$Очередь 1
15023$Очередь 121
9450$Очередь 107
14208$Очередь 105
13551$Очередь 101
8159$Очередь 22
14790$Очередь 23
14642$Очередь 50
15184$Очередь 6
15181$Очередь 81
15182$Очередь 147
11619$Очередь 141
14947$Очередь 27
15113$Очередь 7
4881$Очередь 16
13779$Очередь 19
9435$Очередь 52
3899$Очередь 73
5603$Очередь 130
15183$Очередь 116
9913$Очередь 13
14933$Очередь 59
11693$Очередь 30
15047$Очередь 112
3358$Очередь 152
502$Очередь 38
15185$Очередь 125
2221$Очередь 33
4878$Очередь 153
12245$Очередь 143
10269$Очередь 15
13780$Очередь 64
14397$Очередь 60
9364$Очередь 54
14492$Очередь 87
14988$Очередь 12
12835$Очередь 118
10552$Очередь 150
4081$Очередь 78
7882$Очередь 124
3359$Очередь 88
12834$Очередь 142
6782$Очередь 140
8157$Очередь 74
2725$Очередь 99
13105$Очередь 113
3856$Очередь 70
10405$Очередь 36
14740$Очередь 123
14819$Очередь 40
15253$Очередь 144
13062$Очередь 47
14989$Очередь 132
8070$Очередь 3
9451$Очередь 94
13781$Очередь 133
14466$Очередь 114
13755$Очередь 77
2800$Очередь 108
11613$Очередь 106
3744$Очередь 98
15024$Очередь 71
7638$Очередь 62
13778$Очередь 9
3360$Очередь 11
9437$Очередь 103
14644$Очередь 119
8072$Очередь 154
9264$Очередь 43
14941$Очередь 25
9362$Очередь 48
12246$Очередь 82
14354$Очередь 58
1663$Очередь 68
8725$Очередь 138
14303$Очередь 79
12248$Очередь 84
12697$Очередь 83
14110$Очередь 28
14376$Очередь 32
11156$Очередь 46
13137$Очередь 2
14589$Очередь 34
4875$Очередь 5
12728$Очередь 63
15085$Очередь 75
7797$Очередь 126
9432$Очередь 21
15001$Очередь 131
7617$Очередь 155
14563$Очередь 90
9408$Очередь 128
14447$Очередь 8
10078$Очередь 95
14309$Очередь 39
14396$Очередь 67
14111$Очередь 122
7096$Очередь 145
9436$Очередь 53
12675$Очередь 115
13044$Очередь 111
13042$Очередь 72
13200$Очередь 102
15006$Очередь 97
15005$Очередь 61
13043$Очередь 31
7612$Очередь 93
4874$Очередь 76
9363$Очередь 91
13556$Очередь 139
7508$Очередь 66
12696$Очередь 134
7340$Очередь 136
13045$Очередь 29
2222$Очередь 45
3901$Очередь 137
3947$Очередь 96
